APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
2726013011,01/18/2017,Single Family,"9948 N SHIRLEY AVE
LOS ANGELES, CA 91324
(34.251558, -118.559035)",LOS ANGELES,CA,91324,12,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
2734012065,01/03/2017,Single Family,"17645 W LEMARSH ST
LOS ANGELES, CA 91325
(34.255551, -118.519248)",LOS ANGELES,CA,91325,12,US Bank National Association,US Bank Association,612-973-2749,Gallardo Excavation & Preservation,Fernando Gallardo,15465   Kennedy AVE  Fontana CA 92336,909-904-2577
5435033014,01/06/2017,Multi-Family,"3854 W GLENFELIZ BLVD
LOS ANGELES, CA 90039
(34.120772, -118.266549)",LOS ANGELES,CA,90039,13,Champion Mortgage,Tina Simmons,972-894-9993,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889
2536029015,01/26/2017,Single Family,"10546 N DE HAVEN AVE
LOS ANGELES, CA 91331
(34.262066, -118.403711)",LOS ANGELES,CA,91331,7,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,800-852-8306
5090012016,06/28/2017,Single Family,"929 S MUIRFIELD RD
LOS ANGELES, CA 90019
(34.057978, -118.330684)",LOS ANGELES,CA,90019,4,"Wilmington Trust, C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
6042023013,03/23/2017,Single Family,"939 E 87TH ST
LOS ANGELES, CA 90002
(33.959256, -118.257239)",LOS ANGELES,CA,90002,9,Fannie Mae,Ronald Edison,310-884-9084,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2407004010,01/11/2017,Single Family,"10508 W CROCKETT ST
LOS ANGELES, CA 91352
(34.22018, -118.359978)",LOS ANGELES,CA,91352,2,"SETERUS, INC",KEVIN QUILLAN,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244
5081014009,01/06/2017,Single Family,"1271 S 3RD AVE
LOS ANGELES, CA 90019
(34.047899, -118.319797)",LOS ANGELES,CA,90019,10,"Financial Freedom, a division of CIT bank.",Dan Stack,800-441-4428,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889
6084016018,04/03/2017,Single Family,"832 E 118TH ST
LOS ANGELES, CA 90059
(33.926664, -118.259715)",LOS ANGELES,CA,90059,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618,619-862-0918
4415018079,04/17/2017,Single Family,"17368 W SUNSET BLVD
LOS ANGELES, CA 90272
(34.039839, -118.554318)",LOS ANGELES,CA,90272,11,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
5027012015,04/03/2017,Single Family,"4737 W DON PORFIRIO PL
LOS ANGELES, CA 90008
(34.002519, -118.355869)",LOS ANGELES,CA,90008,8,Fay Servicing LLC,Grace Wesson,877-338-3791,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
6067002028,05/31/2017,Single Family,"1941 E 115TH ST
LOS ANGELES, CA 90059
(33.930523, -118.237534)",LOS ANGELES,CA,90059,15,ClearSpringLS,Clear Springs,813-387-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2235020030,03/08/2017,Single Family,"15060 W GILMORE ST
VAN NUYS, CA 91411
(34.187569, -118.461689)",VAN NUYS,CA,91411,6,Equity Investments Group,Ron Kaplan,714-841-5511,NULL,NULL,,NULL
2511034006,01/03/2017,Single Family,"13872 N SHABLOW AVE
LOS ANGELES, CA 91342
(34.3241, -118.416071)",LOS ANGELES,CA,91342,7,Penny Mac,Brittni Ferrante,818-878-8411,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078,800-468-1743
5304015041,06/28/2017,Single Family,"3751 N LATROBE ST
LOS ANGELES, CA 90031
(34.090325, -118.198406)",LOS ANGELES,CA,90031,1,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
2648013028,02/03/2017,Single Family,"14669 W MINNEHAHA ST
LOS ANGELES, CA 91345
(34.259998, -118.452497)",LOS ANGELES,CA,91345,7,CAM Trust,Steve Huff,310-535-9293,BSI Financial Services,Lee Sitterley,314  S Franklin ST 2 TITUSVILLE PA 16354,888-455-5574
2213014036,04/06/2017,Single Family,"8112 N MATILIJA AVE
LOS ANGELES, CA 91402
(34.218243, -118.433373)",LOS ANGELES,CA,91402,6,Fay Servicing LLC,Grace Wesson,877-338-3791,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
2146040048,05/16/2017,Single Family,"5535 CANOGA AVE
LOS ANGELES, CA 91367
(34.171056, -118.597435)",LOS ANGELES,CA,91367,3,"SETERUS, INC",KEVIN QUILLAN,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244
5523030003,01/06/2017,Multi-Family,"580 N WINDSOR BLVD
LOS ANGELES, CA 90004
(34.081282, -118.319632)",LOS ANGELES,CA,90004,4,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2271008014,04/12/2017,Single Family,"4482 N MAMMOTH AVE
LOS ANGELES, CA 91423
(34.152643, -118.432569)",LOS ANGELES,CA,91423,4,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205
4006019030,06/02/2017,Single Family,"3465 W 67TH ST
LOS ANGELES, CA 90043
(33.978128, -118.332934)",LOS ANGELES,CA,90043,8,DITECH FINANCIAL LLC,NICOLE ARRETCHE,877-272-2149,So Cal Inspectors,SUZANNE PHILLIPS,9525   Stewart and Gray ROAD  DOWNEY CA 90241,877-242-2149
7422015023,04/13/2017,Single Family,"1546 N LAKME AVE
LOS ANGELES, CA 90744
(33.794823, -118.260796)",LOS ANGELES,CA,90744,15,Fay Servicing LLC,Grace Wesson,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100
2310009003,01/25/2017,Single Family,"11849 W STRATHERN ST
LOS ANGELES, CA 91605
(34.215708, -118.391578)",LOS ANGELES,CA,91605,6,BSI Financial Services,BSI SERVICES,866-581-4513,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,814-827-4661
5081007017,01/11/2017,Multi-Family,"1209 1/2 S NORTON AVE
LOS ANGELES, CA 90019
(34.048865, -118.323225)",LOS ANGELES,CA,90019,10,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
4333020049,01/31/2017,Single Family,"8642 W GREGORY WAY 1-18
LOS ANGELES, CA 90035
(34.062942, -118.379965)",LOS ANGELES,CA,90035,5,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
4114004046,01/20/2017,Single Family,"7551 W SHORE CLIFF DR
LOS ANGELES, CA 90045
(33.964761, -118.430097)",LOS ANGELES,CA,90045,11,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2726014016,01/09/2017,Single Family,"19511 W VINTAGE ST
LOS ANGELES, CA 91324
(34.251791, -118.558608)",LOS ANGELES,CA,91324,12,Suntrust,Sarah Berglund,800-336-1197,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
4316005014,03/15/2017,Single Family,"10289 W BANNOCKBURN DR
LOS ANGELES, CA 90064
(34.035127, -118.408847)",LOS ANGELES,CA,90064,5,Us BANK National Association,Jessica Vanella,612-973-2749,Five Brothers,Five Brothers,12220  E 13 Mile RD  Warren MI 48093,586-772-7600
5022006021,01/11/2017,Single Family,"1842 W 42ND PL
LOS ANGELES, CA 90062
(34.006366, -118.312896)",LOS ANGELES,CA,90062,8,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
5027003016,04/26/2017,Single Family,"4401 W DON ZAREMBO DR
LOS ANGELES, CA 90008
(34.005152, -118.352329)",LOS ANGELES,CA,90008,8,New York Community Bank,Brian Pfaffenberger,216-588-3285,Red House Realty,Erika Rodriguez,5004   York BLVD  Highland Park CA 90042,323-500-9474
2129003011,01/03/2017,Single Family,"7120 N CLAIRE AVE
LOS ANGELES, CA 91335
(34.19963, -118.550222)",LOS ANGELES,CA,91335,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
2378001018,06/27/2017,Single Family,"3751 N LANKERSHIM BLVD
LOS ANGELES, CA 90068
(34.136511, -118.364554)",LOS ANGELES,CA,90068,2,"Deutsche Bank, c/o Select Portfolio Servicing",N/A N/A,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
7456024026,01/09/2017,Multi-Family,"1630 S MESA ST
SAN PEDRO, CA 90731
(33.729166, -118.285751)",SAN PEDRO,CA,90731,15,Federal National Mortgage Association,Ronald Edison,800-499-9084,Tower Realty & Investment,Ronald Edison,739  W Rosecrans Ave G Compton CA 90222,800-499-9084
2729006011,02/21/2017,Single Family,"18955 W VINTAGE ST
LOS ANGELES, CA 91324
(34.251386, -118.546855)",LOS ANGELES,CA,91324,12,SHELLPOINT MORTGAGE SERVICING c/o Peak Foreclosure,KELLI ESPINOZA,818-206-3160,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
6040029031,04/13/2017,Single Family,"206 W 89TH ST
LOS ANGELES, CA 90003
(33.955539, -118.276255)",LOS ANGELES,CA,90003,8,Cenlar FSB,ATHENA SANTOS,720-945-5431,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
7415005027,01/19/2017,Single Family,"1319 N GULF AVE
LOS ANGELES, CA 90744
(33.789157, -118.273828)",LOS ANGELES,CA,90744,15,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5175018016,01/04/2017,Multi-Family,"2205 E SHERIDAN ST
LOS ANGELES, CA 90033
(34.051158, -118.208619)",LOS ANGELES,CA,90033,14,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
7451026004,03/10/2017,Single Family,"673 W 4TH ST
SAN PEDRO, CA 90731
(33.740591, -118.291735)",SAN PEDRO,CA,90731,15,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
6042005004,01/03/2017,Single Family,"8759 S MCKINLEY PL
LOS ANGELES, CA 90002
(33.957967, -118.261042)",LOS ANGELES,CA,90002,9,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2697007015,02/23/2017,Single Family,"17215 W SAN FERNANDO MISSION BLVD
LOS ANGELES, CA 91344
(34.272059, -118.508219)",LOS ANGELES,CA,91344,12,FNMA,Stan Greco,805-750-7826,Stan Greco Property Management,Stan Greco,1805   Timberhill CT  Simi Valley CA 93063,805-750-7826
7351013015,01/05/2017,Multi-Family,"1502 W 206TH ST
TORRANCE, CA 90501
(33.843831, -118.304186)",TORRANCE,CA,90501,15,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
7413023069,01/05/2017,Single Family,"1471 W PACIFIC COAST HWY
LOS ANGELES, CA 90744
(33.790834, -118.284434)",LOS ANGELES,CA,90744,15,Capital One,Linda Coy,800-468-1743,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078,800-468-1743
2184015008,01/20/2017,Single Family,"4531 N GRIMES PL
LOS ANGELES, CA 91316
(34.151781, -118.525674)",LOS ANGELES,CA,91316,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403,323-363-4863
2745002116,01/06/2017,Single Family,"10141 N NEVADA AVE
LOS ANGELES, CA 91311
(34.25483, -118.609528)",LOS ANGELES,CA,91311,12,Nationstar Mortgage LLC,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453
5046025007,03/13/2017,Multi-Family,"3685 S VICTORIA AVE
LOS ANGELES, CA 90016
(34.020342, -118.336319)",LOS ANGELES,CA,90016,10,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Joshua Krom,Joshua Krom,1702  S Robertson BLVD 777 Los Angeles CA 90035,323-325-1441
7411030029,01/03/2017,Multi-Family,"26368 S WESTERN AVE
LOMITA, CA 90717
(33.782097, -118.309859)",LOMITA,CA,90717,15,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,"Kash Construction and Management, INC.",Rob Kash,533  S Los Angeles ST 504 Los Angeles CA 90013,818-636-9795
2311004028,05/18/2017,Single Family,"8118 N TROOST AVE
LOS ANGELES, CA 91605
(34.218347, -118.386303)",LOS ANGELES,CA,91605,6,"Dovenmuehle Mortgage, Inc.",Eric Barber,866-397-5370,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
6120018036,01/05/2017,Multi-Family,"16319 S MENLO AVE
LOS ANGELES, CA 90247
(33.883291, -118.289181)",LOS ANGELES,CA,90247,15,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
6088024004,01/03/2017,Single Family,"636 W 118TH ST
LOS ANGELES, CA 90044
(33.92614, -118.286116)",LOS ANGELES,CA,90044,15,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2668008007,04/03/2017,Single Family,"10607 N MONTGOMERY AVE
LOS ANGELES, CA 91344
(34.263055, -118.481564)",LOS ANGELES,CA,91344,12,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205
6055004027,01/13/2017,Single Family,"1504 W 93RD ST
LOS ANGELES, CA 90047
(33.951913, -118.30277)",LOS ANGELES,CA,90047,8,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
6067005019,01/04/2017,Single Family,"2026 E 110TH ST
LOS ANGELES, CA 90059
(33.93512, -118.236266)",LOS ANGELES,CA,90059,15,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
7415003006,01/06/2017,Single Family,"1110 W MAURETANIA ST
LOS ANGELES, CA 90744
(33.789491, -118.276782)",LOS ANGELES,CA,90744,15,"Trinity Financial Services, LLC",David Vo,855-734-0411,"Trinity Financial Services, LLC",Don Madden III,2618   San Miguel DR 303 Newport Beach CA 92660,855-818-6806
5023014028,01/19/2017,Single Family,"4250 S 9TH AVE
LOS ANGELES, CA 90008
(34.006056, -118.326671)",LOS ANGELES,CA,90008,10,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5429014017,05/11/2017,Multi-Family,"1619 N LUCILE AVE
LOS ANGELES, CA 90026
(34.091466, -118.278449)",LOS ANGELES,CA,90026,13,Red Leaf Management,Sacha Ferrandi,858-705-6146,Red Leaf Management,Sacha Ferrandi,1960   Glenneyre ST  Laguna Beach CA 92651,858-705-6146
2733021060,04/17/2017,Single Family,"10543 N ANDASOL AVE
LOS ANGELES, CA 91344
(34.262507, -118.513217)",LOS ANGELES,CA,91344,12,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
5035025025,01/23/2017,Single Family,"1619 W MIDDLETON PL
LOS ANGELES, CA 90062
(34.015535, -118.309649)",LOS ANGELES,CA,90062,8,Ditech Financial LLC,Property Department,800-468-1743,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078,800-468-1743
2322014013,01/11/2017,Single Family,"6706 N HINDS AVE
LOS ANGELES, CA 91606
(34.192407, -118.391083)",LOS ANGELES,CA,91606,2,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5092009018,01/30/2017,Single Family,"4057 W 7TH ST
LOS ANGELES, CA 90005
(34.059883, -118.316376)",LOS ANGELES,CA,90005,4,bayview,Willie Walton,714-848-7920,"Sables Servco, LLC",Jesse Talavera,30   Corporate Park  450 Irvine CA 92606,714-580-8567
2631026015,04/17/2017,Single Family,"11826 W SNELLING ST
LOS ANGELES, CA 91352
(34.232634, -118.391078)",LOS ANGELES,CA,91352,6,BROUGHAM FUND I TRUST,Registration Department,814-827-4661,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,814-827-4661
6022023021,01/22/2017,Single Family,"429 E 74TH ST
LOS ANGELES, CA 90003
(33.97298, -118.266357)",LOS ANGELES,CA,90003,9,"Wells Fargo Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2689003014,01/31/2017,Single Family,"16200 W COMMUNITY CT
LOS ANGELES, CA 91343
(34.2237, -118.485633)",LOS ANGELES,CA,91343,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
2741015013,05/10/2017,Single Family,"10057 N KEOKUK AVE
LOS ANGELES, CA 91311
",LOS ANGELES,CA,91311,12,Geraci Law Firm,Pang Her,949-349-2600,NULL,NULL,,NULL
5050031044,06/08/2017,Single Family,"3006 S VICTORIA AVE
LOS ANGELES, CA 90016
(34.027377, -118.336346)",LOS ANGELES,CA,90016,10,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
5032013045,06/20/2017,Single Family,"4007 S ABOURNE RD
LOS ANGELES, CA 90008
(34.012068, -118.343714)",LOS ANGELES,CA,90008,10,Wells Fargo Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5003006026,04/17/2017,Single Family,"1643 W 52ND ST
LOS ANGELES, CA 90062
(33.995068, -118.306088)",LOS ANGELES,CA,90062,8,MidFirst Bank,Erik Kinner,800-468-1743,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
5579018016,01/11/2017,Single Family,"3239 N PRIMERA AVE
LOS ANGELES, CA 90068
(34.129442, -118.345464)",LOS ANGELES,CA,90068,4,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS c/o Advantage Conveyance,Ken Scheller,1906   Irvine AVE  Newport Beach CA 92660,972-996-5000
6068004034,01/06/2017,Single Family,"10821 S CROESUS AVE
LOS ANGELES, CA 90059
(33.937329, -118.233806)",LOS ANGELES,CA,90059,15,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056,760-634-6589
6035014013,01/03/2017,Single Family,"2006 W 82ND ST
LOS ANGELES, CA 90047
(33.964586, -118.313708)",LOS ANGELES,CA,90047,8,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
7470003021,01/25/2017,Single Family,"1125 W 25TH ST
SAN PEDRO, CA 90731
(33.721576, -118.302078)",SAN PEDRO,CA,90731,15,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
5019020026,05/01/2017,Multi-Family,"634 W 41ST DR
LOS ANGELES, CA 90037
(34.008731, -118.285044)",LOS ANGELES,CA,90037,9,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
2762031007,01/25/2017,Single Family,"9851 N DONNA AVE
LOS ANGELES, CA 91324
(34.249719, -118.547503)",LOS ANGELES,CA,91324,12,Tom Block,Tom Block,818-597-0842,Tom Block,Tom Block,65  N Dos Caminos AVE  Ventura CA 93003,818-597-0842
5456010003,01/17/2017,Single Family,"3140 N VERDUGO ROAD
LOS ANGELES, CA 90065
(34.108042, -118.237535)",LOS ANGELES,CA,90065,1,RUSHMORE LOAN MGMT SERVICES,ENRIQUE OROZCO,949-341-5601,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
6065030001,03/08/2017,Single Family,"1782 E 105TH ST
LOS ANGELES, CA 90002
(33.940671, -118.24086)",LOS ANGELES,CA,90002,15,Federal National Mortgage Association,Fabiola Martinez,818-887-7722,Kenneth Management Group,Fabiola Martinez,31129   Via Colinas  703 Westlake Village CA 91362,818-887-7722
5170004009,01/27/2017,Multi-Family,"1149 1/2 S ORME AVE
LOS ANGELES, CA 90023
(34.027221, -118.215326)",LOS ANGELES,CA,90023,14,"champion Mortgage Company Nationstar Mortgage LLC, DBA",Darryl Sanders,214-687-4188,Gallardo Excav,Fernando Gallardo,15465   Kennedy ST  Fontana CA 92336,909-822-1706
2170016046,01/31/2017,Single Family,"22016 W BUENAVENTURA ST
LOS ANGELES, CA 91364
(34.155258, -118.606464)",LOS ANGELES,CA,91364,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618,619-862-0918
2163021029,01/05/2017,Single Family,"5431 N TOPEKA DR
LOS ANGELES, CA 91356
(34.169994, -118.546577)",LOS ANGELES,CA,91356,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2408011012,03/03/2017,Single Family,"8638 N NORRIS AVE
LOS ANGELES, CA 91352
(34.226185, -118.368758)",LOS ANGELES,CA,91352,6,Shellpoint Mortgage Services,Johan Correa,866-825-2174,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
5101027019,01/06/2017,Multi-Family,"142 W 56TH ST
LOS ANGELES, CA 90037
(33.991503, -118.275523)",LOS ANGELES,CA,90037,9,Trustee Corps,Ann Lewis,856-917-3308,Safeguard,Property Preservation,7887   Safeguard Circle   Valley View OH 44125,800-852-8306
2012021030,05/09/2017,Single Family,"7700 N FARRALONE AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
6005006028,01/04/2017,Single Family,"5904 S OLIVE ST
LOS ANGELES, CA 90003
(33.98721, -118.279387)",LOS ANGELES,CA,90003,9,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
6083015027,01/20/2017,Multi-Family,"349 E 118TH ST
LOS ANGELES, CA 90061
(33.926462, -118.267747)",LOS ANGELES,CA,90061,15,Central Loan Administration & Reporting,Athena Santos,888-821-6452,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
5047003006,01/04/2017,Single Family,"5607 W SUNLIGHT PL
LOS ANGELES, CA 90016
(34.022174, -118.367324)",LOS ANGELES,CA,90016,10,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
5110012006,05/19/2017,Multi-Family,"126 W 47TH ST
LOS ANGELES, CA 90037
(34.001045, -118.275139)",LOS ANGELES,CA,90037,9,Bank of America,VPR Department,800-669-2443,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889
2701068029,02/23/2017,Single Family,"11450 N SANTINI LANE
LOS ANGELES, CA 91326
(34.279735, -118.588161)",LOS ANGELES,CA,91326,12,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
5186007055,05/09/2017,Multi-Family,"535 1/2 S BERNAL AVE
LOS ANGELES, CA 90063
(34.031952, -118.199548)",LOS ANGELES,CA,90063,14,"Dovenmuehle Mortgage, Inc.",Eric Barber,866-397-5370,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2623031016,05/24/2017,Single Family,"12874 W SUNBURST ST
LOS ANGELES, CA 91331
(34.252848, -118.413173)",LOS ANGELES,CA,91331,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
6006019029,05/10/2017,Multi-Family,"409 E 64TH ST
LOS ANGELES, CA 90003
(33.981537, -118.267128)",LOS ANGELES,CA,90003,9,Bert Whitfield and Jauncie Whitfield,Bert Whitfield,323-314-2723,NULL,NULL,,NULL
